#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2     image_file
#                                                                     mJy        arcsec        arcsec        degree            um                                                            arcsec    arcsec                                                       
    2011.0.00097.S    1    1    4           COSMOS10_field9      0.352533      0.475651      0.386875      -55.9181       876.614   149.8819194     2.3506684   149.8819333     2.3506545   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field10      0.226699      0.657959      0.441557       47.7633       876.771   150.3819991     2.1208841   150.3820130     2.1208702   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field11       0.21335      0.653143      0.445141       48.0767       876.771   150.4074381     1.8032265   150.4074520     1.8032126   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field12      0.222916      0.648876      0.445307       47.3787       876.771   150.4478336     1.8505474   150.4478475     1.8505335   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field13      0.227773      0.647721      0.444456       46.7576       876.771   150.4508294     2.4353599   150.4508433     2.4353461   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field14      0.215976      0.640516      0.440369       46.1706       876.771   150.4942873     2.2822006   150.4943012     2.2821867   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field15      0.217177      0.642491      0.443242       45.6945       876.771   150.5357458     2.2552958   150.5357597     2.2552820   102.300   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field16      0.219123      0.635076      0.442186        45.685       876.771   150.5420683     2.2772664   150.5420822     2.2772525   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field17      0.219869      0.626478      0.444005        46.155       876.771   150.6456420     1.9368988   150.6456559     1.9368849   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field18      0.221735      0.624945      0.442127       45.3132       876.771   150.6989445     2.3540263   150.6989584     2.3540124   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5             COSMOS_field5      0.227088      0.681039      0.442528        49.733       876.771   150.1132292     2.0142519   150.1132431     2.0142381   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field5_sci.spw0_1_2_3.cont.I.image.fits
