# Project_code     RA                   Dec                  Release_date   Release_date_Mjd   Group_ous_id              Member_ous_id             Asdm_uid                   Field_of_view       
# 
  2013.1.00034.S   149.97414166666667   1.6435111111111111   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.35027916666667   1.9282               2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.97347916666666   1.7246388888888888   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.52702916666667   2.1540694444444446   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.16075833333332   2.1546694444444445   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.6588             2.071988888888889    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.11892916666667   2.032061111111111    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.4551708333333    2.0834694444444444   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.03175            2.0987388888888887   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.74640833333333   2.084519444444445    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.98994166666665   2.174061111111111    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.11935            2.2241499999999994   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.9561             2.2301               2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.01637916666667   2.320961111111111    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.17992083333337   2.0886194444444444   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
