#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2                       OBS_DATE     image_file
# 
    2011.0.00097.S    1    1    3            COSMOS9_field7      0.283241      0.635319      0.457381       80.2335       876.714   150.3791550     2.5295759   150.3791689     2.5295620   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field8      0.268435      0.627537      0.456472       81.8144       876.714   150.3844605     2.1798842   150.3844744     2.1798703   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field9      0.285614      0.622237      0.455121       82.9406       876.714   150.3935884     1.9800235   150.3936023     1.9800096   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field10      0.351245      0.503724      0.421456      -56.3842       876.714   149.9148390     2.0943738   149.9148529     2.0943599   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field11      0.331065       0.50504      0.422074      -55.3218       876.714   149.9189140     2.6430291   149.9189279     2.6430152   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field12        0.3357      0.505688      0.421141      -55.0333       876.714   149.9629684     2.6131391   149.9629823     2.6131252   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field13      0.332023      0.506882      0.418079      -55.0663       876.714   149.9986316     2.0634563   149.9986455     2.0634425   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field14      0.340089      0.508049      0.417951      -54.6218       876.714   150.0683813     2.2655147   150.0683952     2.2655008   102.300   102.301      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field15      0.322824      0.508384      0.415929      -54.9896       876.714   150.0728075     1.7361654   150.0728214     1.7361515   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field16      0.334826      0.510692      0.417127       -53.843       876.714   150.0769597     2.5489722   150.0769736     2.5489583   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field17      0.308442      0.513274      0.415235      -53.2684       876.714   150.0904125     2.5504996   150.0904264     2.5504857   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field18      0.314532      0.513463      0.413205      -53.6142       876.714   150.1088076     2.0116099   150.1088215     2.0115960   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field5       0.31676      0.498322       0.42549      -59.5408       876.714   149.7727500     1.8541850   149.7727639     1.8541711   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field5_sci.spw0_1_2_3.cont.I.image.fits
